NEIGHBORHOOD_OF_THE_CRIME,counts,ADDRESS,location,latitude,longitude
URBIVILLA DEL PRADO,160,"URBIVILLA DEL PRADO,Tijuana,Mexico",,32.4078,-116.9661
EL DORADO RESIDENCIAL,158,"EL DORADO RESIDENCIAL,Tijuana,Mexico","Autopista Tijuana-Ensenada, Costa Coronado Residencial, Tijuana, Municipio de Tijuana, Baja California, 22667, México",32.5140884,-117.1096189
EJIDO CHILPANCINGO,158,"EJIDO CHILPANCINGO,Tijuana,Mexico","Calle Ejido Chilpancingo, Valencia, Jardín Dorado, Chilpancingo, Municipio de Tijuana, Baja California, 22207, México",32.5149685,-116.9028461
VILLA DEL ALAMO,155,"VILLA DEL ALAMO,Tijuana,Mexico","Villa del Alamo, El Porvenir, San Luis, Municipio de Tijuana, Baja California, México",32.4337319,-116.94340113729231
GARITA DE OTAY,154,"GARITA DE OTAY,Tijuana,Mexico","Boulevard Garita de Otay, Otay Vista, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México",32.5255214,-116.9339484
EJIDO OJO DE AGUA,153,"EJIDO OJO DE AGUA,Tijuana,Mexico","Ejido Ojo de Agua, El Florido, Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México",32.4753187,-116.788711
URBIVILLA DEL PRADO 2,152,"URBIVILLA DEL PRADO 2,Tijuana,Mexico",,32.4229,-116.9691
EL TECOLOTE,152,"EL TECOLOTE,Tijuana,Mexico","Calle Tecolote, El Escondido, Planicie, Tijuana, Municipio de Tijuana, Baja California, 22473, México",32.5530058,-116.8816674
SECCION JARDINES PLAYAS DE TIJUANA,148,"SECCION JARDINES PLAYAS DE TIJUANA,Tijuana,Mexico",,31.7272,-116.0175
LAZARO CARDENAS,144,"LAZARO CARDENAS,Tijuana,Mexico","Lázaro Cárdenas, Tijuana, Municipio de Tijuana, Baja California, México",32.5266021,-117.0986317
OTAY UNIVERSIDAD,142,"OTAY UNIVERSIDAD,Tijuana,Mexico","Otay Universidad, Tijuana, Municipio de Tijuana, Baja California, 22427, México",32.52722345,-116.97483435569566
VILLA DEL REAL I,141,"VILLA DEL REAL I,Tijuana,Mexico",,32.513,-116.8594
INDEPENDENCIA,140,"INDEPENDENCIA,Tijuana,Mexico","Independencia, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22682, México",32.4779492,-116.937688
PORTICOS DE SAN ANTONIO,139,"PORTICOS DE SAN ANTONIO,Tijuana,Mexico","Pórticos de San Antonio, Municipio de Tijuana, Baja California, 22663, México",32.4406334,-117.0322012
PRESIDENTES,139,"PRESIDENTES,Tijuana,Mexico","INFONAVIT Presidentes, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22101, México",32.49070405,-116.90635142395871
EMPERADORES,137,"EMPERADORES,Tijuana,Mexico","Emperadores, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22117, México",32.4864045,-116.9663788
CAÑADAS DEL FLORIDO,136,"CAÑADAS DEL FLORIDO,Tijuana,Mexico",,32.4567,-116.9249
LOS REYES,136,"LOS REYES,Tijuana,Mexico",,32.4643,-116.8572
EJIDO LAZARO CARDENAS,134,"EJIDO LAZARO CARDENAS,Tijuana,Mexico",,32.435,-117.0073
AVIACION,130,"AVIACION,Tijuana,Mexico","Aviación, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22014, México",32.5134672,-117.0083679
SALVATIERRA,129,"SALVATIERRA,Tijuana,Mexico","Salvatierra, Tijuana, Municipio de Tijuana, Baja California, 22607, México",32.4829489,-117.0720732
LOMAS DEL MATAMOROS,123,"LOMAS DEL MATAMOROS,Tijuana,Mexico",,32.5147,-116.8778
RESIDENCIAL DEL BOSQUE,120,"RESIDENCIAL DEL BOSQUE,Tijuana,Mexico",,32.5124,-116.8307
EL MIRADOR,120,"EL MIRADOR,Tijuana,Mexico","El Mirador, Altiplano 5ta, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22709, México",32.5157821,-116.8356843
LA JOYA,119,"LA JOYA,Tijuana,Mexico","La Joya, Municipio de Tijuana, Baja California, 22645, México",32.4448306,-117.0033708
OTAY CONSTITUYENTES,118,"OTAY CONSTITUYENTES,Tijuana,Mexico","Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México",32.5293228,-116.9466581
SANTA FE,118,"SANTA FE,Tijuana,Mexico","Santa Fe, Villa Residencial Santa Fe 1ra Sección, Del. Sanchez Taboada, Pórticos de San Antonio, Municipio de Tijuana, Baja California, 22663, México",32.4472379,-117.0420699
ANEXA 20 DE NOVIEMBRE,118,"ANEXA 20 DE NOVIEMBRE,Tijuana,Mexico",,32.5134,-116.983
VILLA FONTANA,116,"VILLA FONTANA,Tijuana,Mexico","Villa Fontana, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México",32.5065109,-116.8719097
TOMAS AQUINO,114,"TOMAS AQUINO,Tijuana,Mexico","Tomas Aquino, Tijuana, Municipio de Tijuana, Baja California, 22414, México",32.52836235,-116.98609895776369
LAS DELICIAS III,110,"LAS DELICIAS III,Tijuana,Mexico","Las Delicias, Municipio de Tijuana, Baja California, 22160, México",32.4059884,-116.9413012
AGUAJE DE LA TUNA PRIMERA SECCION,109,"AGUAJE DE LA TUNA PRIMERA SECCION,Tijuana,Mexico",,32.4762,-117.0081
SAN LUIS,109,"SAN LUIS,Tijuana,Mexico","San Luis, Municipio de Tijuana, Baja California, 22170, México",32.4285403,-116.9543611
VILLA DEL CAMPO,108,"VILLA DEL CAMPO,Tijuana,Mexico","Villa del Campo, Municipio de Tijuana, Baja California, 22110, México",32.5081727,-116.7365324
PLAYAS DE TIJUANA,108,"PLAYAS DE TIJUANA,Tijuana,Mexico","Playas de Tijuana, Calle Colima, Playas de Tijuana Secc Terrazas, Tijuana, Municipio de Tijuana, Baja California, 22101, México",32.531755,-117.116418
LA CIENEGA,108,"LA CIENEGA,Tijuana,Mexico","La Ciénega, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22665, México",32.4882194,-116.9391823
LOMAS DE LA PRESA,106,"LOMAS DE LA PRESA,Tijuana,Mexico",,32.4488,-116.9249
JARDINES DE LA MESA,106,"JARDINES DE LA MESA,Tijuana,Mexico","Jardines, Calle Mar De Cortés, Constitución de 1917, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22640, México",32.49016,-116.922158
POBLADO EJIDO MATAMOROS,105,"POBLADO EJIDO MATAMOROS,Tijuana,Mexico",,32.518,-116.855
LIBERTAD PARTE BAJA,105,"LIBERTAD PARTE BAJA,Tijuana,Mexico","Cañón Johnson Sur Parte Baja, Cima, Tijuana, Municipio de Tijuana, Baja California, 22056, México",32.5042674,-117.0437694
LOS LOBOS,102,"LOS LOBOS,Tijuana,Mexico",,32.5026,-116.8991
CIUDAD JARDIN,101,"CIUDAD JARDIN,Tijuana,Mexico","Ciudad Jardín, Tijuana, Municipio de Tijuana, Baja California, 22600, México",32.5117637,-117.063674
VILLAS DE BAJA CALIFORNIA,101,"VILLAS DE BAJA CALIFORNIA,Tijuana,Mexico","Hyspan de México, Privada Villas de San Antonio, Real de Loma Bonita, Del. Sanchez Taboada, Tijuana, Municipio de Tijuana, Baja California, 22626, México",32.476142,-117.03845768130552
ALTAMIRA,100,"ALTAMIRA,Tijuana,Mexico","Lima, Francisco Villa, Tijuana, Municipio de Tijuana, Baja California, 22054, México",32.5246529,-117.0541656
GUADALUPE VICTORIA,97,"GUADALUPE VICTORIA,Tijuana,Mexico","Guadalupe Victoria, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22126, México",32.4504293,-116.9448468
ALEMAN,96,"ALEMAN,Tijuana,Mexico","Xicotencatl Leyva Alemán, Tijuana, Municipio de Tijuana, Baja California, 22505, México",32.5197707,-117.0996153
CAMPOS,94,"CAMPOS,Tijuana,Mexico","Campos de Baseball Otay, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, México",32.536840549999994,-116.9461553311748
