COLONIA DEL HECHO,counts,ADDRESS,location,point,latitude,longitude
ALTAMIRA,391,"ALTAMIRA,Tijuana,Mexico","Lima, Francisco Villa, Tijuana, Municipio de Tijuana, Baja California, 22054, México","(32.5246529, -117.0541656, 0.0)",32.5246529,-117.0541656
LOMAS DE LA PRESA,390,"LOMAS DE LA PRESA,Tijuana,Mexico",,,32.4488,-116.9249
PLAYAS,387,"PLAYAS,Tijuana,Mexico","Playas de Tijuana Secc Costa Azul, Tijuana, Municipio de Tijuana, Baja California, 22506, México","(32.502835, -117.120598, 0.0)",32.502835,-117.120598
RESIDENCIAL DEL BOSQUE,385,"RESIDENCIAL DEL BOSQUE,Tijuana,Mexico",,,32.5124,-116.8307
VILLA DEL CAMPO,380,"VILLA DEL CAMPO,Tijuana,Mexico","Villa del Campo, Municipio de Tijuana, Baja California, 22110, México","(32.5081727, -116.7365324, 0.0)",32.5081727,-116.7365324
PANAMERICANO,378,"PANAMERICANO,Tijuana,Mexico","Instituto Panamericano Tec. Num. 2, 5204, Calle Mar Hudson, Misión del Sol, Tijuana, Municipio de Tijuana, Baja California, 22001, México","(32.538376, -117.067814, 0.0)",32.538376,-117.067814
JUAREZ,375,"JUAREZ,Tijuana,Mexico","Juárez, Tijuana, Municipio de Tijuana, Baja California, 22500, México","(32.516214, -117.0346116, 0.0)",32.516214,-117.0346116
URBIVILLA DEL PRADO,372,"URBIVILLA DEL PRADO,Tijuana,Mexico",,,32.4078,-116.9661
SECCION COSTA HERMOSA,368,"SECCION COSTA HERMOSA,Tijuana,Mexico",,,32.512,-117.1162
ALEMAN,359,"ALEMAN,Tijuana,Mexico","Xicotencatl Leyva Alemán, Tijuana, Municipio de Tijuana, Baja California, 22505, México","(32.5197707, -117.0996153, 0.0)",32.5197707,-117.0996153
LAS PALMAS,358,"LAS PALMAS,Tijuana,Mexico","Las Palmas, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22106, México","(32.5035544, -116.9857162, 0.0)",32.5035544,-116.9857162
